Percentage,'Lower Limit','Upper Limit',cluster
9.7,6,14.9,cluster3
5.5,4,7.4,cluster1
7.9,6.8,9.2,cluster3
7.1,4.9,10.2,cluster1
10.9,7.8,14.8,cluster3
10.6,8,14,cluster3
10.6,6.5,15.9,cluster3
7.9,5.1,12.2,cluster1
6.9,5.4,8.8,cluster1
9.6,7.4,12.2,cluster3
9.5,4.6,18.2,cluster1
5.3,2.7,9.1,cluster1
12.4,6.6,21.3,cluster3
8,4.5,13.8,cluster1
8.9,7.2,11,cluster3
16.9,9.9,25.9,cluster2
9.3,6.7,12,cluster3
9.5,7.1,12.8,cluster3
7.6,3.2,18.4,cluster1
8.4,7.1,9.7,cluster3
8.5,6,11.6,cluster3
8.5,6.6,10.7,cluster3
8.5,5.4,13.1,cluster1
10.1,8.7,11.7,cluster3
13.3,6.8,22.9,cluster3
8,7.1,8.9,cluster3
10.1,7.6,13.4,cluster3
6,2.4,11.3,cluster1
6.2,3.6,9.8,cluster1
11.9,8.5,16,cluster3
10,6.5,14.8,cluster3
10.2,4.9,17.2,cluster1
6.9,4,11.1,cluster1
8.1,7,9.2,cluster3
10.4,4.7,20.6,cluster1
11,8.6,13.9,cluster3
